ID,Lat,Long,Mopened,Opened,City,State,Commas,CityState,,
32964Chicago,41.8755616,-87.6244212,4/90,4/1/90,Chicago,Illinois,",","Chicago,Illinois",,
33697Corona Del Mar,33.597859,-117.873014,4/92,4/3/92,Corona Del Mar,California,",","Corona Del Mar,California",,
33970Park Ridge,42.0111412,-87.8406192,1/93,1/1/93,Park Ridge,Illinois,",","Park Ridge,Illinois",,
34090Seattle,47.6038321,-122.3300624,5/93,5/1/93,Seattle,Washington,",","Seattle,Washington",,
34439Boston,42.3602534,-71.0582912,4/94,4/15/94,Boston,Massachusetts,",","Boston,Massachusetts",,
34669Dallas,32.7762719,-96.7968559,12/94,12/1/94,Dallas,Texas,",","Dallas,Texas",,
34669Houston,31.3378465,-95.390805,12/94,12/1/94,Houston,Texas,",","Houston,Texas",,
34700Houston,31.3378465,-95.390805,1/95,1/1/95,Houston,Texas,",","Houston,Texas",,
34973Dallas,32.7762719,-96.7968559,10/95,10/1/95,Dallas,Texas,",","Dallas,Texas",,
35065Fort Worth,32.753177,-97.3327459,1/96,1/1/96,Fort Worth,Texas,",","Fort Worth,Texas",,
35411Honolulu,21.304547,-157.8556764,12/96,12/12/96,Honolulu,Hawaii,",","Honolulu,Hawaii",,
35608Whitefish Bay,43.1133445,-87.9000856,6/97,6/27/97,Whitefish Bay,Wisconsin,",","Whitefish Bay,Wisconsin",,
35653Honolulu,21.304547,-157.8556764,8/97,8/11/97,Honolulu,Hawaii,",","Honolulu,Hawaii",,
35755Aiea,21.3822222,-157.9336111,11/97,11/21/97,Aiea,Hawaii,",","Aiea,Hawaii",,
35762Aiea,21.3822222,-157.9336111,11/97,11/28/97,Aiea,Hawaii,",","Aiea,Hawaii",,
35827Boise,43.6166163,-116.200886,2/98,2/1/98,Boise,Idaho,",","Boise,Idaho",,
35954Honolulu,21.304547,-157.8556764,6/98,6/8/98,Honolulu,Hawaii,",","Honolulu,Hawaii",,
35977Mililani Town,21.4523757,-158.0063148,7/98,7/1/98,Mililani Town,Hawaii,",","Mililani Town,Hawaii",,
36085Honolulu,21.304547,-157.8556764,10/98,10/17/98,Honolulu,Hawaii,",","Honolulu,Hawaii",,
36216Honolulu,21.304547,-157.8556764,2/99,2/25/99,Honolulu,Hawaii,",","Honolulu,Hawaii",,
36284Kapaa,22.0747334,-159.3191601,5/99,5/4/99,Kapaa,Hawaii,",","Kapaa,Hawaii",,
36526Houston,31.3378465,-95.390805,1/00,1/1/00,Houston,Texas,",","Houston,Texas",,
36540Portland,45.5202471,-122.6741949,1/00,1/15/00,Portland,Oregon,",","Portland,Oregon",,
