City,State,Lat,Long,commas,CityState,Opened,Mopened
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",4/1/90,4/90
Corona Del Mar,California,33.597859,-117.873014,",","Corona Del Mar,California",4/3/92,4/92
Park Ridge,Illinois,42.0111412,-87.8406192,",","Park Ridge,Illinois",1/1/93,1/93
Seattle,Washington,47.6038321,-122.3300624,",","Seattle,Washington",5/1/93,5/93
Boston,Massachusetts,42.3602534,-71.0582912,",","Boston,Massachusetts",4/15/94,4/94
Dallas,Texas,32.7762719,-96.7968559,",","Dallas,Texas",12/1/94,12/94
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",12/1/94,12/94
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",1/1/95,1/95
Dallas,Texas,32.7762719,-96.7968559,",","Dallas,Texas",10/1/95,10/95
Fort Worth,Texas,32.753177,-97.3327459,",","Fort Worth,Texas",1/1/96,1/96
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",12/12/96,12/96
Whitefish Bay,Wisconsin,43.1133445,-87.9000856,",","Whitefish Bay,Wisconsin",6/27/97,6/97
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",8/11/97,8/97
Aiea,Hawaii,21.3822222,-157.9336111,",","Aiea,Hawaii",11/21/97,11/97
Aiea,Hawaii,21.3822222,-157.9336111,",","Aiea,Hawaii",11/28/97,11/97
Boise,Idaho,43.6166163,-116.200886,",","Boise,Idaho",2/1/98,2/98
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",6/8/98,6/98
Mililani Town,Hawaii,21.4523757,-158.0063148,",","Mililani Town,Hawaii",7/1/98,7/98
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",10/17/98,10/98
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",2/25/99,2/99
Kapaa,Hawaii,22.0747334,-159.3191601,",","Kapaa,Hawaii",5/4/99,5/99
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",1/1/00,1/00
Portland,Oregon,45.5202471,-122.6741949,",","Portland,Oregon",1/15/00,1/00
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",1/28/00,1/00
Dallas,Texas,32.7762719,-96.7968559,",","Dallas,Texas",8/4/00,8/00
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",8/31/00,8/00
Nashville,Tennessee,36.1622296,-86.7743531,",","Nashville,Tennessee",9/1/00,9/00
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",11/28/00,11/00
Kihei,Hawaii,20.7476261,-156.4549898,",","Kihei,Hawaii",12/30/00,12/00
Boston,Massachusetts,42.3602534,-71.0582912,",","Boston,Massachusetts",1/1/01,1/01
Kihei,Hawaii,20.7476261,-156.4549898,",","Kihei,Hawaii",2/23/01,2/01
West Allis,Wisconsin,43.0166806,-88.0070315,",","West Allis,Wisconsin",3/30/01,3/01
Newbury Park,California,34.18054,-118.907089,",","Newbury Park,California",4/1/01,4/01
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",6/1/01,6/01
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",8/3/01,8/01
Vestal,New York,42.0850747,-76.053813,",","Vestal,New York",9/1/01,9/01
Edison,New Jersey,40.5382375,-74.3945173,",","Edison,New Jersey",9/29/01,9/01
Kapolei,Hawaii,21.3339504,-158.0771853,",","Kapolei,Hawaii",10/17/01,10/01
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",1/29/02,1/02
